date,year,inflation,purchasing_power,rate_of_loss
2010-01-01,2010,11.26518827,100.0,0.0
2011-01-01,2011,10.06492599,90.85546471823872,9.144535281761279
2012-01-01,2012,7.111729433,84.82307698623256,6.639543092662416
2013-01-01,2013,9.469719811,77.48542440108554,8.650538091583241
2014-01-01,2014,10.07021547,70.39635933319713,9.14890138717379
2015-01-01,2015,10.37049034,63.78186697942429,9.396071638400215
2016-01-01,2016,13.81360621,56.0406344226884,12.137042898467005
2017-01-01,2017,29.50660839,43.27241298291589,22.783863122368967
2018-01-01,2018,14.40146578,37.82505118083976,12.58853256976164
2019-01-01,2019,9.152799593,34.65330373740179,8.385309059527753
2020-01-01,2020,5.04493289,32.98902934584167,4.802642784571924
2021-01-01,2021,5.214049405,31.354205576535826,4.955658901530908
2022-01-01,2022,13.89566098,27.52888503982746,12.200342717568562
2023-01-01,2023,33.88477631,20.561624554001888,25.308909081300158
2024-01-01,2024,28.27058993,16.02988227092649,22.03980658811023
